Meldungen	Saison	Erkrankung	Altersgruppe	Region	Kalenderwoche	Inzidenz
116	2011/12	ILI	60+	Bundesweit	2011-W40	0
264	2011/12	ILI	00+	Sueden	2011-W40	184
417	2011/12	ILI	00+	Mitte (West)	2011-W40	1468
186	2011/12	ILI	00+	Norden (West)	2011-W40	1185
450	2011/12	ILI	00+	Osten	2011-W40	1156
1047	2011/12	ILI	15+	Bundesweit	2011-W40	968
1317	2011/12	ILI	00+	Bundesweit	2011-W40	1056
270	2011/12	ILI	0-14	Bundesweit	2011-W40	1660
83	2011/12	ARE	0-4	Bundesweit	2011-W41	5202
204	2011/12	ARE	5-14	Bundesweit	2011-W41	5966
